Day,Agent Type,Rooftop ID,Rooftop Name,Enterprise ID,Enterprise Name,Customer Type,Customer Subtype,Customer Segment,CSM Name,Region,Stage,Final Status/RAG,Final Status/Churned,Usage/# Touched,Usage/# Qualified,Usage/# Appt Booked,Usage/Conv Rate,RoI?/Appt Value ($),RoI?/RoI (Factor),RoI?/Report Sent (D/W/M)?,Tickets/# Created,Tickets/# Open,Tickets/Open Ticket Ageing (Hrs),Tickets/Avg Resolution hrs,Tickets/Ticket RAG,Communication/RAG,Leadership Connect/MBR,Leadership Connect/Contact Freq,Payment/Rooftops,Payment/Agents,Payment/MRR,Payment/ARR,Payment/Stage,Payment/T1,Payment/T2,Payment/T3,Payment/Score
"22 May, 2026",Sales Outbound,6730ea9132,Dream Nissan Legends,5b81be4b1,Dream Automotive,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,32,0,9,6,$1,0.17,No,0,0,0.00,00:00:00,,,,,Dream Lawrence Nissan; Dream Nissan Kansas City; Dream Nissan Midwest,Sales Inbound; Sales Outbound,$4500,$54000,Live,paid,paid,paid,Green
"22 May, 2026",Sales Inbound,3d3deabc98,Dream Nissan Midwest,5b81be4b1,Dream Automotive,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,103,63,54,11,$2,0.18,No,0,0,0.00,00:00:00,,,,,Dream Lawrence Nissan; Dream Nissan Kansas City; Dream Nissan Midwest,Sales Inbound; Sales Outbound,$4500,$54000,Live,paid,paid,paid,Green
"22 May, 2026",Sales Outbound,3d3deabc98,Dream Nissan Midwest,5b81be4b1,Dream Automotive,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,40,6,14,6,$0,0.00,No,0,0,0.00,00:00:00,,,,,Dream Lawrence Nissan; Dream Nissan Kansas City; Dream Nissan Midwest,Sales Inbound; Sales Outbound,$4500,$54000,Live,paid,paid,paid,Green
"22 May, 2026",Sales Inbound,8559da8aef,Edwards Chevrolet 280,3884c7156,Edwards Chevrolet Downtown,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,164,16,80,17,$1,0.06,No,0,0,0.00,00:00:00,,,,,Edwards Chevrolet 280; Edwards Chevrolet Downtown; Edwards Honda,Sales Inbound,$2697,$32367,Live,paid,paid,no invoice raised,Green
"22 May, 2026",Sales Inbound,4e24c50b58,Edwards Chevrolet Downtown,3884c7156,Edwards Chevrolet Downtown,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,68,48,45,3,$0,0.00,No,0,0,0.00,00:00:00,,,,,Edwards Chevrolet 280; Edwards Chevrolet Downtown; Edwards Honda,Sales Inbound,$2697,$32367,Live,paid,paid,no invoice raised,Green
"22 May, 2026",Sales Inbound,d6947fc2e0,Edwards Honda,3884c7156,Edwards Chevrolet Downtown,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,Live,,,153,6,59,8,$1,0.13,No,0,0,0.00,00:00:00,,,,,Edwards Chevrolet 280; Edwards Chevrolet Downtown; Edwards Honda,Sales Inbound,$2697,$32367,Live,paid,paid,no invoice raised,Green
"22 May, 2026",Sales Inbound,5480771b21,Feldmann Imports Mercedes Benz,06e65fbde,"Feldmann Imports, Inc.",GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,2,0,1,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,"Feldmann Imports, Inc.",Sales Inbound; Service Inbound,$1500,$18000,Live,overdue,paid,paid,Amber
"22 May, 2026",Service Inbound,5480771b21,Feldmann Imports Mercedes Benz,06e65fbde,"Feldmann Imports, Inc.",GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,4,4,3,1,$1,1.00,No,0,0,0.00,00:00:00,,,,,"Feldmann Imports, Inc.",Sales Inbound; Service Inbound,$1500,$18000,Live,overdue,paid,paid,Amber
"22 May, 2026",Sales Inbound,b4df3297f5,I 40 Autos,b7a9c31a8,I 40 Auto,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,SMB,Unassigned CSM,AMER,Live,,,320,24,465,38,$3,0.08,No,0,0,0.00,00:00:00,,,,,I 40 Autos,Sales Inbound,$699,$8388,Live,no invoice raised,no invoice raised,no invoice raised,NA
"22 May, 2026",Service Inbound,0dcef03834,John Hiester Chevrolet,d3216c3e4,John Hiester Chevrolet,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,3,0,2,1,$0,0.00,No,0,0,0.00,00:00:00,,,,,John Hiester Chevrolet,Service Inbound,$499,$5988,Live,paid,paid,paid,Green
"22 May, 2026",Sales Inbound,c18a7a6d8d,Landers CDJR,b5b6954c4,Landers Dodge Chrysler Jeep RAM,INDIVIDUAL_DEALER,FRANCHISE_DEALER,SMB,vishal.singh1@spyne.ai,AMER,Live,,,5,4,3,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Landers CDJR,Sales Inbound; Sales Outbound; Service Inbound,$2100,$25200,Live,paid,paid,paid,Green
"22 May, 2026",Sales Outbound,c18a7a6d8d,Landers CDJR,b5b6954c4,Landers Dodge Chrysler Jeep RAM,INDIVIDUAL_DEALER,FRANCHISE_DEALER,SMB,vishal.singh1@spyne.ai,AMER,Live,,,165,21,83,1,$0,0.00,No,0,0,0.00,00:00:00,,,,,Landers CDJR,Sales Inbound; Sales Outbound; Service Inbound,$2100,$25200,Live,paid,paid,paid,Green
"22 May, 2026",Sales Inbound,987d7cb5f5,McGrath Acura of Westmont,acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),GROUP_DEALER,FRANCHISE_DEALER,Ent,abhijeet.mitra@spyne.ai,AMER,Live,,,7,0,6,3,$2,0.67,No,0,0,0.00,00:00:00,,,,,McGrath Acura,Sales Inbound; Service Inbound,$3000,$36000,Live,overdue,paid,paid,Amber
"22 May, 2026",Sales Outbound,341a56683a,Mercedes-Benz of Arlington,dab960b7c,Mercedes-Benz of Arlington,INDIVIDUAL_DEALER,,SMB,abhijeet.mitra@spyne.ai,AMER,Live,,,127,11,56,10,$0,0.00,No,0,0,0.00,00:00:00,,,,,Mercedes-Benz of Arlington,Sales Inbound; Sales Outbound,$2799,$33588,Live,no invoice raised,no invoice raised,no invoice raised,NA
"22 May, 2026",Service Inbound,8f59b8483b,Mercedes Benz of Foothill Ranch,e551635ea,Mercedes-Benz of Laguna Niguel,GROUP_DEALER,FRANCHISE_DEALER,Ent,prabha.kumari@spyne.ai,AMER,Live,,,5,0,5,3,$1,0.33,No,0,0,0.00,00:00:00,,,,,Mercedes Benz Foothill; Mercedes Laguna Niguel,Service Inbound,$1000,$12000,Live,overdue,overdue,no invoice raised,Red
"22 May, 2026",Service Inbound,f222a4f3ff,Mercedes Benz of Laguna Niguel,e551635ea,Mercedes-Benz of Laguna Niguel,GROUP_DEALER,FRANCHISE_DEALER,Ent,prabha.kumari@spyne.ai,AMER,Live,,,32,5,10,7,$1,0.14,No,0,0,0.00,00:00:00,,,,,Mercedes Benz Foothill; Mercedes Laguna Niguel,Service Inbound,$1000,$12000,Live,overdue,overdue,no invoice raised,Red
"22 May, 2026",Sales Inbound,5895de05b,Paragon Honda,21de286e9,Paragon Motors of Woodside Inc dba Paragon Honda,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,10,0,6,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Paragon Acura; Paragon Honda,Sales Inbound; Service Inbound; Service Outbound,$5000,$60000,Live,overdue,overdue,overdue,Red
"22 May, 2026",Sales Inbound,e8cf6f4867,Pinnacle Peak Auto Sales,595631394,Pinnacle Peak Auto Sales,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,SMB,greeva.mishra@spyne.ai,AMER,Churned,,,2,0,1,0,$1,Infinity,No,0,0,0.00,00:00:00,,,,,Pinnacle Peak Auto Sales,Sales Inbound,$499,$5988,Churned,overdue,paid,paid,Amber
"22 May, 2026",Service Inbound,5f6644c1f1,Sport Durst Hyundai,6b9a25d35,Sport Durst Automotive Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,prabha.kumari@spyne.ai,AMER,Live,,,3,0,2,2,$0,0.00,No,0,0,0.00,00:00:00,,,,,Sport Durst Hyundai; Sport Durst Mazda; Sport Durst Mazda of Goldsboro; Sport Durst Subaru; Sport Durst VW of Goldsboro; Sport Durst VW of Jacksonville,Service Inbound,$4500,$54000,Live,paid,no invoice raised,no invoice raised,Green
"22 May, 2026",Service Inbound,27029bf75c,Sport Durst Mazda,6b9a25d35,Sport Durst Automotive Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,prabha.kumari@spyne.ai,AMER,Live,,,6,0,5,2,$0,0.00,No,0,0,0.00,00:00:00,,,,,Sport Durst Hyundai; Sport Durst Mazda; Sport Durst Mazda of Goldsboro; Sport Durst Subaru; Sport Durst VW of Goldsboro; Sport Durst VW of Jacksonville,Service Inbound,$4500,$54000,Live,paid,no invoice raised,no invoice raised,Green
"22 May, 2026",Service Inbound,73ff62fd21,Sport Durst VolksWagen of Goldsboro,6b9a25d35,Sport Durst Automotive Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,prabha.kumari@spyne.ai,AMER,Live,,,3,0,2,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Sport Durst Hyundai; Sport Durst Mazda; Sport Durst Mazda of Goldsboro; Sport Durst Subaru; Sport Durst VW of Goldsboro; Sport Durst VW of Jacksonville,Service Inbound,$4500,$54000,Live,paid,no invoice raised,no invoice raised,Green
"22 May, 2026",Sales Inbound,7fb99e6ee1,Super Autos Miami,6c19cc7c4,Super Autos Miami,INDIVIDUAL_DEALER,,SMB,Unassigned CSM,AMER,Live,,,14,11,8,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Super Autos Miami,Sales Inbound; Sales Outbound,$1498,$17976,Live,no invoice raised,no invoice raised,no invoice raised,NA
"22 May, 2026",Sales Inbound,e05e67affb,Vatland Honda,6add25efd,Vatland Auto Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,abhijeet.mitra@spyne.ai,AMER,Live,,,5,3,3,1,$0,0.00,No,0,0,0.00,00:00:00,,,,,Vatland Honda,Sales Inbound; Sales Outbound,$1600,$19200,Live,paid,paid,paid,Green
"22 May, 2026",Service Inbound,bf718528af,Victory Toyota of Midtown,ef09d889d,Victory Automotive Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,43,13,29,20,$7,0.35,No,0,0,0.00,00:00:00,,,,,Victory Toyota of Midtown,Service Inbound,$999,$11988,Live,overdue,overdue,paid,Red
"22 May, 2026",Sales Inbound,405beccbe9,WolfChase Honda,6548557c2,Wolfchase Honda & Nissan,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,40,3,12,2,$0,0.00,No,0,0,0.00,00:00:00,,,,,Wolfchase Honda; Wolfchase Nissan,Sales Inbound; Sales Outbound; Service Recall,$4000,$48000,Live,overdue,overdue,paid,Red
"22 May, 2026",Sales Outbound,405beccbe9,WolfChase Honda,6548557c2,Wolfchase Honda & Nissan,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,NA,,,192,9,110,7,$0,0.00,No,0,0,0.00,00:00:00,,,,,Wolfchase Honda; Wolfchase Nissan,Sales Inbound; Sales Outbound; Service Recall,$4000,$48000,Live,overdue,overdue,paid,Red
"22 May, 2026",Sales Inbound,d14b8b8338,WolfChase Nissan,6548557c2,Wolfchase Honda & Nissan,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,6,0,5,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Wolfchase Honda; Wolfchase Nissan,Sales Inbound; Sales Outbound; Service Recall,$4000,$48000,Live,overdue,overdue,paid,Red
"22 May, 2026",Sales Outbound,d14b8b8338,WolfChase Nissan,6548557c2,Wolfchase Honda & Nissan,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,184,19,90,6,$0,0.00,No,0,0,0.00,00:00:00,,,,,Wolfchase Honda; Wolfchase Nissan,Sales Inbound; Sales Outbound; Service Recall,$4000,$48000,Live,overdue,overdue,paid,Red
"22 May, 2026",Service Inbound,48d0fea7-2,World Car Auto Group,4f772edd8,World Car Auto Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,NA,,,12,8,8,8,$2,0.25,No,0,0,0.00,00:00:00,,,,,World Car Kia San Antonio; World Car Kia South; World Car Mazda San Antonio,Service Inbound; Service Outbound,$4325,$51900,Live,overdue,overdue,overdue,Red
"22 May, 2026",Service Inbound,d2999d21-c,World Car Auto Group,4f772edd8,World Car Auto Group,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,7,3,6,4,$2,0.50,No,0,0,0.00,00:00:00,,,,,World Car Kia San Antonio; World Car Kia South; World Car Mazda San Antonio,Service Inbound; Service Outbound,$4325,$51900,Live,overdue,overdue,overdue,Red
